PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,15,11,9,8,7,7,7,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 21, 2014 Friday",25 of 89 DOCUMENTS,Austin American-Statesman (Texas),City on verge of last big wind buy for now,Marty Toohey American-Statesman Staff,MAIN; Pg. A1,,1042 words,,,"February 21, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,Austin_Energy,wind,utility,contract,solar,per,kilowatt_hour,city,cent,percent,energy,plant,council,source,price,project,pay,new,deal,electricity,plan,less,West_Texas,executive,last,decade,renewable,official,purchase,coal,mix,customer,operating,credit,remain,cost,end,accord,state,Austin,signing,caution,probably,major,buy,schedule,open,next,facility,put,verge,help,demand,allow,rely,natural,gas,carbon,along,green,least,near,future,run,federal,expir,program,forefront,industry,establish,time,fuel,charge,somewhere,much,east,2.3,start,2012,environmental,activist,rate,lowest,night,part,strategy,reduce,tax,replace,satisfy,cost_effective,Mele,GreenChoice,Lincoln_Renewable_Energy,large_scale,close,absent,march,order
,19,18,17,9,8,8,8,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"June 18, 2014 Wednesday",27 of 89 DOCUMENTS,Austin American-Statesman (Texas),Wild Basin expands learning opportunities at university,Katie Urbaszewski Austin Community Newspapers,METRO; Pg. B2,,477 words,,,"June 18, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,student,grant,preserve,research,center,Abbott,Wild_Basin,land,help,school,database,computer,opportunity,St._Edward,take,management,2009,plan,education,public,offer,compile,basin,whether,change,development,include,develop,science,benefit,biology,together,better,understanding,open,University,Wild_Basin_Wilderness,Texas_Highway,descend,valuable,project,level,activity,never,higher,turn,main,hall,environmental,summer,general,specifically,gear,toward,elementary,high,teacher,training,fall,separate,"200,000",begin,funding,effort,state,vegetation,animal,throughout,tracking,finding,determine,environment,climate,might,affect,able,people,care,catch,early,mitigate,remain,protect,much,surround,continue,grow,w.m,give,though,play,huge,role,resume,afford,interdisciplinary,experience,really,neat
,8,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 29, 2014 Sunday",28 of 89 DOCUMENTS,Austin American-Statesman (Texas),"Dems: GOP at war with women Dems: GOP wa on gays, women Dems' platfor targets GOP GOP at war wit women , Dems' platfor accuses GOP women, gays divide parties Dems' platfor blasts GOP Party's platfom blasts GOP in planks Party blasts GOP in planks",Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,924 words,,,"June 30, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,platform,democrat,republican,Texas,rights,woman,call,state,party,reparative,Republican,Democratic,therapy,candidate,Republican_Party,saturday,section,describe,â,governor,convention,vote,plank,offer,change,act,approve,new,violence,soul,people,family,value,back,abortion,veto,last,sen,rival,add,go,think,problem,counseling,homosexuality,law,god,beyond,clear,sense,illegal,bad,science,committee,level,climate,document,approval,education,repeal,keep,voting,LGBTQ,U.S.,U.N.,Coleman,assail,allege,target,attack,fresh,encouragement,assault,autonomy,name,dating,succeed,w.,bush,involved,thread,together,restriction,nationally,war,wendy,davis,nominee,put,speech,friday,night,try,take,we,1814,need,200,college
,14,10,8,7,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 22, 2014 Thursday",31 of 89 DOCUMENTS,Austin American-Statesman (Texas),Art Science Gallery creates its own niche,Jeanne Claire van Ryzin American-Statesman Staff,LIFESTYLE; Pg. D1,,1141 words,,,"May 22, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,art,science,Gillespie,gallery,salamander,scientist,open,exhibit,artist,stage,last,class,lecture,space,much,printmaking,fish,ecology,scientific,people,adult,free,june,saturday,show,p.m.,Canopy,Art_Science_Gallery,serve,among,studio,founder,celebrate,portrait,project,offer,doctorate,animal,usual,complex,time,painting,world,city,museum,family,find,program,think,ever,gillespie,biology,let,know,permanent,place,artwork,informal,course,climate,group,public,pet,cost,101,Hayley_Gillespie,Barton_Springs,art_makers,Science,Salamander,hor,dwoeuvre,tour,november,hardly,standard,canapé,cheese,cube,cracker,invitation,experiment,entomophagy,bug,eat,prove,popular,crochet,hyperbolic,plane,create,collage,invasive,plant,remove,park,though,occupy,sleek
,19,14,12,9,7,7,6,6,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 27, 2014 Thursday",32 of 89 DOCUMENTS,Austin American-Statesman (Texas),"UT System's oil boom brings money, questions",Ralph K.M. Haurwitz American-Statesman Staff,MAIN; Pg. A1,,2549 words,,,"November 27, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
