PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,22,22,15,12,10,10,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"October 8, 2003, Wednesday",19 of 90 DOCUMENTS,Austin American-Statesman (Texas),"Austin schools tap green power District hopes moveto wind, sun power will save money and the environment","Kevin Carmody, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,462 words,,,"October 9, 2003",ENGLISH,,,,,,,Copyright 2003 The Austin American Statesman
,power,price,district,school,city,green,renewable,gas,utility,conventional,plant,natural,cost,Austin,sign,agreement,become,save,money,cut,air,pollution,percent,electricity,wind,2011,home,purchase,greenchoice,make,reduce,likely,double,electric,million,fuel,buy,fix,higher,federal,next,official,take,sell,last,nearly,Austin_Energy,Forgione,GreenChoice,tuesday,biggest,buyer,try,mean,108,campuse,sun,source,enough,"3,750",almost,twice,amount,largest,customer,program,superintendent,pat,forgione,decision,sense,student,exposure,taxpayer,time,sharp,jump,bill,1.5,normally,fluctuate,remain,slightly,"25,000",produce,fossil,expect,continue,rise,live,income,wise,investment,go,break,recent,report,issue,reserve
,13,7,6,6,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2003, Wednesday",21 of 90 DOCUMENTS,Austin American-Statesman (Texas),Letters,AMERICAN-STATESMAN,Editorial; Pg. A12,,1056 words,,,"February 12, 2003",ENGLISH,,,"At the Capitol last month, Jean Boddie, left, Mary Gifford, Ed Gifford and Marty Kennedy of Catholic Charities distributed angel food cakes with a message. // Marc Katz",,,,Copyright 2003 The Austin American Statesman
,war,government,attack,people,need,evidence,austin,council,city,mayor,municipal,criterion,church,state,article,believe,change,weapon,business,anthrax,country,way,idea,fear,aggression,answer,Powell,United_Nations,report,feb,separation,law,god,every,right,mind,take,reeve,common,sense,go,address,hand,never,time,gus,garcia,smoking,ordinance,might,less,show,face,economic,leader,citizen,run,katz,deal,bottle,can,kind,many,must,irrelevant,secretary,beyond,reasonable,doubt,thousand,danger,immediate,world,use,information,base,fact,achieve,peaceful,whether,responsible,apply,subject,Austin_City_Council,smoke_free,Austin,State_Colin_Powell,U.N.,Iraq,enjoy,agenda,lobbyist,religious,group,obligation,include,lobbying,thanks,good
,10,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"February 13, 2003, Thursday",22 of 90 DOCUMENTS,Austin American-Statesman (Texas),Business Digest,Compiled from staff and wire reports,Business; Pg. C1,,580 words,,,"February 13, 2003",ENGLISH,,,,,,,Copyright 2003 The Austin American Statesman
,group,company,oil,proposal,emission,industry,crude,cent,share,U.S.,greenhouse,gas,industrial,voluntary,global,warming,growth,wednesday,light,sweet,level,report,government,shareholder,million,cut,co.,curb,include,power,refiner,impose,lawmaker,percent,rise,price,stock,smooth,inventory,gasoline,heating,accord,governance,file,reform,ask,change,executive,brand,strong,quarter,earn,Coca_Cola,promiseto,hundred,agree,plan,combat,trade,represent,automaker,producer,chemical,manufacturer,promise,slow,next,decade,project,link,administration,aim,address,concern,without,mandatory,cap,air,pollutant,favor,legislation,limit,plant,introduce,senate,bipartisan,environmental,natural,resource,defense,council,target,translate,increase,much,2000,2010,production,hit
,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
