PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 2, 2015 Wednesday",64 of 272 DOCUMENTS,USA TODAY,World needs climate agreement; He seeks 'legally binding' targets to aid global economy,"David Jackson, and Kim Hjelmgaard, USA TODAY",NEWS; Pg. 5A,,298 words,,,"December 2, 2015",ENGLISH,,,"photo Christophe Ena, AP",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,Obama,global,climate,change,agreement,country,president,tuesday,include,design,economy,talk,plan,abortion,make,warming,trend,might,Paris,Russian,USA,express,confidence,world,nation,soon,strike,legally,bind,target,forge,century,ahead,convinced,go,big,thing,do,news,conference,follow,counterpart,continue,odd,support,leader,last,week,shoot,parenthood,office,show,need,sensible,gun,law,criticize,rhetoric,surround,though,legitimate,honest,debate,people,sure,factually,accurately,demonizing,organization,fly,back,diplomat,180,remain,try,hammer,address,destructive,impact,temperature,environment,affect,economic,security,imperative,every,official,large,industrial,question,idea,hurt,group,member,majority,vow,block,variety,administration
,8,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 14, 2015 Monday",65 of 272 DOCUMENTS,USA TODAY,Landmark climate accord doesn't end in Paris,,NEWS; Pg. 7A,,526 words,,,"December 14, 2015",ENGLISH,,,"photo Christophe Petit-Tesson, epa",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,country,Paris,agreement,nation,pledge,scenario,world,many,climate,change,effort,accord,planet,warming,rise,emerge,city,represent,thing,make,emission,take,much,meet,keep,well,case,new,technology,energy,cheat,either,commitment,time,U.S.,today,fractious,195,agree,anything,whether,sun,east,easy,way,deal,weekend,terrorist,attack,traumatize,remarkable,achievement,behalf,humanity,broadly,acceptable,voluntary,nature,lack,enforcement,tool,request,urge,throughout,text,threaten,effectiveness,previous,create,legally,bind,cut,greenhouse,gas,end,failure,approach,decide,plan,curb,every,five,expect,submit,stronger,far,nearly,enough,target,3.6,degree,fahrenheit,less,solution,provide,structure,encouragement,control,best
,8,8,6,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 10, 2015 Friday",67 of 272 DOCUMENTS,USA TODAY,Global warming didn't give Malia asthma; Obama's smoking a more likely factor,James S. Robbins,NEWS; Pg. 7A,,474 words,,,"April 10, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,asthma,president,global,air,smoking,daughter,climate,change,father,child,common,outside,smoke,Malia,White_House,warming,today,science,look,culprit,might,feel,connect,risk,less,tobacco,sometimes,show,sense,secondhand,infant,time,higher,parent,find,blame,politically,useful,spin,something,different,dad,interview,wednesday,support,new,awareness,campaign,note,trouble,breathing,fright,terrible,fortunately,doctor,able,treat,condition,quickly,malady,discussion,tuesday,family,go,vulnerable,health,can,cordon,fact,sheet,dot,rate,double,past,put,individual,greater,landing,hospital,good,news,reason,alarm,suggest,caution,outdoor,pollution,pollen,may,worsen,chronic,respiratory,disease,yet,report,quality,improve,aggregate,emission
,8,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 19, 2015 Wednesday",68 of 272 DOCUMENTS,USA TODAY,"EPA proposes huge methane limits; Agency affirms its commitment to cutting pollution that contributes to climate change by targeting oil, gas industry's emissions","Doyle Rice, USA TODAY",NEWS; Pg. 3A,,345 words,,,"August 19, 2015",ENGLISH,,,photo AP,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
