PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,17,12,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2018 Monday",39 of 169 DOCUMENTS,USA TODAY,"Pruitt goes, but don't expect big changes at EPA",,NEWS; Pg. 5A,,426 words,,,"July 9, 2018",ENGLISH,,,photo Jim Lo Scalzo/epa-EFE,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,go,Pruitt,long,time,president,top,administrator,job,energy,lobbyist,wife,aide,display,former,leave,disastrous,boss,EPA,Trump,surprising,thing,resignation,embattle,scott,pruitt,take,unceremoniously,fire,earlier,astounding,number,scandal,swirl,around,chief,clamor,departure,resemble,nothing,1972,dr.,seuss,classic,man,name,k.,mooney,substitute,title,character,care,foot,cow,please,finally,belatedly,spawn,dozen,ethic,investigation,fewer,cover,sweetheart,rental,agreement,lavish,spend,taxpayer,money,security,airfare,effort,franchise,use,private,business,allegation,numerous,mention,survive,short,answer,fealty,toward,passion,bid,roll,back,environmental,regulation,rhetoric,draining,swamp,reluctant,rid,biggest,grifter,administration,put
,10,8,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 2018 Friday",40 of 169 DOCUMENTS,USA TODAY,Red tide threatens Florida beaches and businesses,"Caroline Simon, USA TODAY",NEWS; Pg. 6A,,548 words,,,"August 17, 2018",ENGLISH,,,photo Andrew West/USA TODAYNETWORK,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,red,tide,affect,bloom,condition,Florida,alga,brevis,problem,human,harmful,cause,k.,water,fish,though,change,southwest,linger,ocean,kill,marine,wildlife,business,temporarily,close,call,occur,appear,typically,toxin,begin,november,wind,current,severity,effect,find,people,eye,go,long,last,climate,declare,state,emergency,wednesday,seven,county,unusually,severe,outbreak,declaration,provide,money,resource,address,october,burst,growth,negatively,beach,shut,floridian,wonder,end,look,question,answer,scientist,naturally,microogranism,large,quantity,gulf,turn,brown,green,contain,nervous,system,bird,mammal,happen,along,coast,throughout,spring,summer,combination,include,presence,nutrient,allow,grow,almost,every,vary
,22,21,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 7, 2018 Wednesday",43 of 169 DOCUMENTS,USA TODAY,Can veterans fix our paralyzed Congress?; They understand how to put country over self,Mike Mullen and Elliott Ackerman,NEWS; Pg. 5A,,696 words,,,"February 7, 2018",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,veterans,common,pledge,party,we,Congress,seem,time,congressional,divide,other,experience,act,lead,run,support,climate,find,offer,sign,least,legislation,oppose,new,political,group,candidate,something,serve,often,difference,politician,moral,hazard,national,interest,country,military,decision,war,set,level,veteran,politics,Van_Taylor,Pat_Ryan,Honor,appear,nothing,strong,second,amendment,gun,rights,repeal,ryan,plan,universal,health,care,believe,president,propose,exit,accord,betrayal,future,generation,ideologically,apart,however,agreement,issue,sliver,hope,deeply,divisive,join,colleague,side,aisle,piece,major,meet,someone,sponsor,advise,aim,goal,create,caucus,capable,surmount,become,debilitate,partisan,nation,else,signing
,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
