PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,7,6,6,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 7, 2001 Monday",86 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ON ENVIRONMENTAL POLICY, BUSH IS STEERING US TO A SENSIBLE CENTER",,"EDITORIAL, Pg.A-12 LETTERS TO THE EDITOR",,267 words,,,"May 7, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,water,environmental,science,president,policy,drink,public,oil,take,arsenic,standard,part,per,billion,put,many,company,industry,else,people,gas,time,Bush,media,portraying,bush,either,stumble,environment,sell,big,corporate,interest,lawyer,situation,differently,decade,extremism,try,move,toward,middle,road,sound,overzealous,ideology,prevail,industrial,pollutant,naturally,occur,chemical,remove,cost,money,much,administration,decision,set,business,current,already,infinitesimal,risk,demonstrable,benefit,health,unfortunately,become,matter,relation,ced,field,extremist,actually,believe,carbon,dioxide,exhale,thousand,cause,global,climate,change,readily,accept,notion,drilling,inevitably,harm,vast,wilderness,reason,overcome,generation,hysteria,misinformation,think,great
,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 2001, Friday",92 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),METEOR CRASH TRIGGERED 'GREAT DYING',"USHA LEE MCFARLING , LOS ANGELES TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg. A-1",,698 words,,,"February 23, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,extinction,impact,million,asteroid,time,ago,meteor,team,scientist,space,find,form,rock,buckyball,gas,Earth,life,250,event,process,cause,call,percent,unique,suggest,University,wipe,planet,massive,dinosaurs,report,today,whether,series,species,land,geochemist,study,issue,large,trace,chemical,earth,earthquake,evidence,within,far,expert,plant,greatest,mass,armageddon,nearly,may,trigger,collision,later,help,end,reign,finding,revive,debate,single,dramatic,largely,fault,catastrophic,plague,slower,volcanoe,run,amok,climate,change,toxic,shift,sea,water,chemistry,shoulder,much,blame,decade,puzzle,catastrophe,ocean,mother,lead,author,publish,journal,science,make,remarkable,virtually,marine,good,portion
,11,10,7,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2001 Monday",106 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ECO-UNFRIENDLY;  THE BUSH ADMINISTRATION IS MAKING GREENS SEE RED,,"EDITORIAL, Pg.A-10",,392 words,,,"April 16, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,environmental,administration,law,proposal,federal,environment,Endangered_Species_Act,president,allow,discretion,species,court,order,live,regulation,slip,change,Bush,Norton,White_House,foe,legislation,think,former,overstep,bound,power,promulgating,protective,rule,leave,office,must,deliriously,happy,concerted,attack,protection,latest,relax,strictest,mandate,deadline,official,decide,endangered,worth,save,limit,ability,citizen,group,obtain,require,u.,protect,various,secretary,gale,apparently,reputation,industry,compliance,imagine,corporate,leader,sit,around,boardroom,make,decision,whether,term,especially,might,cost,bundle,force,give,promise,revenue,stream,traditionally,step,result,rather,bureaucrat,charge,administering,wonder,environmentalist,react,alarm,accuse,try,close,door,ark,appointment
,6,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
