PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 18, 2015 Tuesday",111 of 419 DOCUMENTS,Pittsburgh Post-Gazette,CLEAN POWER BENEFITS,"AVIVA DIAMOND, Mt. Lebanon",EDITORIAL; LETTERS TO THE EDITOR; Pg. A-6,,211 words,,,"August 18, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,fewer,president,change,health,child,climate,nation,standard,benefit,opportunity,Obama,recent,announcement,provide,tremendous,leadership,address,urgency,morality,crisis,must,course,serve,constructive,model,implement,strategy,concrete,action,curb,deleterious,effect,plan,establish,national,carbon,emission,power,plant,public,numerous,significant,include,"3,600",premature,death,"1,700",hospital,visit,"90,000",asthma,attack,"300,000",miss,work,school,due,illness,2030,directly,feel,live,near,greatest,risk,air,pollution,improve,future,enact,state,moment,right,leave,something,better,kid,let,make,thank,value,set,bar,country,follow,Barack_Obama,Environmental_Protection_Agency,Clean_Power_Plan,first_ever,coal_fired,Cheswick_Generating_Station,Springdale
,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 18, 2015 Friday",113 of 419 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: NATIONAL; Pg. A-3,,,,720 words,,,"September 19, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,police,people,shot,girl,economic,Pope,Boston,rule,today,freedom,include,june,climate,change,expect,search,state,Cuba,cuba,travel,take,time,opportunity,secretary,long,biker,may,evidence,still,congressman,address,papal,moral,call,global,identify,child,find,trash,bag,along,beach,source,tell,information,brown,WASHINGTON,Treasury,Christian,administration,ease,citizen,wish,business,grow,rank,independent,entrepreneur,hope,kindle,greater,island,department,regulation,effect,monday,simplify,procedure,tourism,telephone,internet,investment,money,transfer,end,former,cold,war,foe,resume,direct,postal,service,five,decade,clinch,agreement,regularly,schedule,commercial,flight,stronger,open,relationship,potential,create,americans,cuban,alike
,8,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 20, 2015 Sunday",115 of 419 DOCUMENTS,Pittsburgh Post-Gazette,FEDS UNVEIL PLAN THAT WOULD PROTECT AQUATIC SPECIES,JOHN HAYES,OUTDOORS; NOTEBOOK; Pg. C-15,,464 words,,,"September 24, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,species,plan,fish,new,fishing,p.m.,Fish,many,native,aquatic,last,week,invasive,water,u.,mussel,endangered,extinct,strategic,loss,habitat,overharvest,climate,change,fly,back,summer,steelhead,trip,five_year,Wildlife_Service,imperil,organisms,federal,government,release,protect,barrier,expansion,spread,readily,whether,natural,range,growth,transportation,accord,"1,000",document,155,kind,currently,count,subspecy,declare,1898,2006,rate,extinction,accelerate,analysis,current,population,trend,deem,threaten,lead,researcher,estimate,additional,freshwater,might,2050,unveiled,intend,enhance,exist,policy,design,slow,address,fragmentation,degradation,competition,introduction,establishment,help,we,direct,resource,toward,highest,priority,program,director,write,statement,result,better
,8,6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2015 Tuesday",125 of 419 DOCUMENTS,Pittsburgh Post-Gazette,CLIMATE HOPE; A SWEEPING ACCORD NOW REQUIRES ACTION,,EDITORIAL; Pg. A-10,,341 words,,,"December 16, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
